UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
419,M10418,M,295.69,304.47,1415,37.31,8,0,No Failure
420,M10419,H,298.71,309.45,1539,32.98,28,0,No Failure
421,L10420,M,300.85,309.04,1477,45.7,40,0,No Failure
422,L10421,L,300.94,309.35,2162,61.16,36,1,Power Failure
423,L10422,H,297.45,305.99,1552,53.24,190,0,No Failure
424,L10423,M,295.98,305.24,2094,58.55,23,0,No Failure
425,L10424,H,298.83,308.03,1381,28.2,37,1,Overstrain Failure
426,M10425,M,297.94,306.96,1964,25.65,112,0,No Failure
427,L10426,L,300.94,311.94,1261,44.48,35,0,No Failure
428,M10427,L,295.39,307.38,1663,51.38,187,0,No Failure
429,M10428,M,299.7,309.84,1206,62.97,122,1,Overstrain Failure
430,L10429,M,296.73,308.51,2010,36.72,220,1,Tool Wear Failure
431,H10430,L,296.45,306.03,2150,35.6,10,1,Power Failure
432,M10431,M,298.98,307.4,1235,43.21,214,1,Tool Wear Failure
433,M10432,H,296.48,306.11,2134,50.82,38,1,Power Failure
434,H10433,H,299,308.18,1974,45.47,231,1,Tool Wear Failure
435,M10434,H,298.1,308.08,1559,52.54,82,0,No Failure
436,H10435,M,297.54,308.17,2109,37.11,128,0,No Failure
437,L10436,L,298.33,308.17,1496,58.8,6,0,No Failure
438,L10437,H,296.72,308.46,1609,28.23,182,0,No Failure
439,L10438,M,299.24,310.78,1297,34.22,53,0,No Failure
440,M10439,L,297.49,308.3,1857,54.82,229,1,Tool Wear Failure
441,H10440,H,297.16,307.12,1230,35.11,165,0,No Failure
442,H10441,M,299.97,308.5,1685,50.07,71,0,No Failure
443,M10442,H,300.55,310.14,1883,32.95,65,0,No Failure
444,H10443,H,295.28,306.09,2021,28.42,43,0,No Failure
445,M10444,L,296.4,305.54,1350,33.53,200,1,Tool Wear Failure
446,M10445,M,297.09,305.51,1954,59.91,110,0,No Failure
447,M10446,H,299.89,311.52,1919,40.74,69,1,Power Failure
448,L10447,L,300.91,311.75,1760,30.14,238,1,Tool Wear Failure
449,H10448,L,300.81,311.27,1785,34.46,201,1,Tool Wear Failure
450,H10449,H,300.43,311.6,1291,20.12,147,0,No Failure
451,M10450,H,296.78,308.12,1800,54.01,201,1,Tool Wear Failure
452,L10451,M,300.95,310.89,1582,30.16,30,0,No Failure
453,M10452,H,296.5,308.02,2068,46.91,168,0,No Failure
454,M10453,L,295.64,307.3,1513,21.13,81,0,No Failure
455,M10454,L,300.71,309.79,1777,57.55,172,0,No Failure
456,H10455,M,296.4,306.83,1627,28.44,240,1,Tool Wear Failure
457,H10456,H,299.14,309.24,2076,20.21,195,0,No Failure
458,L10457,H,295.35,305.5,1454,33.55,141,0,No Failure
459,M10458,H,299.38,311.13,1279,61.42,186,1,Overstrain Failure
460,M10459,L,300.29,309.51,1949,31.82,117,0,No Failure
461,H10460,H,296.63,308.57,1613,42.66,70,0,No Failure
462,M10461,L,297.27,308.88,1789,38.33,10,0,No Failure
463,L10462,H,297.25,307.08,1226,33.24,169,0,No Failure
464,L10463,H,299.49,310.76,2152,61.73,36,1,Power Failure
465,L10464,L,296.43,307.5,2078,55.5,115,0,No Failure
466,M10465,L,296.03,306.74,1824,54.29,167,0,No Failure
467,H10466,H,297.7,306.98,1217,43.67,223,1,Tool Wear Failure
468,H10467,H,296.83,305.61,1578,57.12,152,0,No Failure
469,M10468,M,300.04,310.72,2179,40.63,54,1,Power Failure
470,M10469,M,296.43,307.8,1881,40.93,119,0,No Failure
471,H10470,H,298.01,306.08,1361,42.22,167,0,No Failure
472,L10471,M,300.66,311.23,1661,30.66,49,0,No Failure
473,L10472,H,298.8,308.58,2167,61.56,183,1,Power Failure
474,L10473,L,300.2,311.8,1735,31.64,191,0,No Failure
475,L10474,H,300.64,309.93,1225,28.92,131,0,No Failure
476,M10475,M,299.5,309.4,1820,30.97,215,1,Tool Wear Failure
477,L10476,M,299.2,309.26,1471,56.78,56,0,No Failure
478,H10477,H,300.81,309.37,1299,54.58,134,0,No Failure
479,H10478,M,300.97,311.82,1603,39.22,224,1,Tool Wear Failure
480,H10479,H,297.71,309.03,1759,20.62,176,0,No Failure
481,H10480,M,295.43,303.66,1217,63.91,202,1,Overstrain Failure
482,L10481,L,296.76,305.92,1759,25.96,56,0,No Failure
483,H10482,L,295.91,304.07,1711,58.31,143,0,No Failure
484,L10483,L,297.5,309.33,1994,55.18,81,1,Tool Wear Failure
485,L10484,L,295.79,306.46,1624,62.21,165,1,Power Failure
486,M10485,L,298.62,310.48,1753,54.8,131,0,No Failure
487,H10486,H,297.3,307.42,1942,34.91,156,0,No Failure
488,L10487,H,300.37,311.58,2097,30.44,154,0,No Failure
489,L10488,H,300.81,310.3,1580,37,184,0,No Failure
490,H10489,M,298.28,307.7,1802,29.14,200,0,No Failure
491,H10490,H,296.65,306.16,1895,52.38,15,0,No Failure
492,H10491,H,298.55,309.18,1243,57.19,237,1,Overstrain Failure
493,H10492,M,300.38,309.82,2001,49.09,102,0,No Failure
494,M10493,L,297.44,309.04,1577,28.37,43,0,No Failure
495,L10494,L,298.31,310.25,1870,21.68,230,1,Tool Wear Failure
496,L10495,M,296.63,304.75,1672,46.12,196,1,Tool Wear Failure
497,H10496,H,297.73,306.51,1902,40.82,105,0,No Failure
498,L10497,M,297.41,305.86,1924,28.99,150,0,No Failure
499,L10498,M,296.49,304.66,1392,36.56,57,0,No Failure
500,M10499,M,298.04,306.95,1862,44.37,103,0,No Failure
501,M10500,L,296.86,306.65,2051,48.48,100,0,No Failure
502,L10501,M,297.24,308.59,1436,41.45,189,0,No Failure
503,M10502,H,298.15,307.04,1958,63.71,108,1,Power Failure
504,H10503,L,299.5,309.48,1834,22.08,189,0,No Failure
505,M10504,L,297,308.72,2155,49.62,198,0,No Failure
506,M10505,H,300.54,311.21,1460,60.93,96,1,Power Failure
507,H10506,L,300.17,311.37,1354,30.65,110,0,No Failure
508,H10507,H,295.29,305.5,1512,29.62,130,0,No Failure
509,M10508,H,296.52,308.44,1458,54.3,1,1,Tool Wear Failure
510,M10509,M,297.68,308.03,1957,41.89,49,0,No Failure
511,M10510,L,295.63,303.81,1933,64.65,212,1,Tool Wear Failure
512,M10511,M,297.09,305.88,1870,46.51,190,0,No Failure
513,H10512,L,299.44,309.06,1416,61.55,19,0,No Failure
514,L10513,M,299.08,309.49,2062,20.55,159,1,Tool Wear Failure
515,L10514,H,298.73,309.82,2157,26.95,5,1,Power Failure
516,H10515,L,299.26,308.92,1732,50.8,134,0,No Failure
517,M10516,L,296.23,307.07,1849,38.74,40,0,No Failure
518,M10517,M,297.05,308.21,1701,57.62,213,1,Tool Wear Failure
519,L10518,L,299.06,308.33,1484,39.3,154,0,No Failure
520,L10519,L,300.28,312.19,1486,52.08,16,0,No Failure
521,M10520,M,298.26,308.86,1513,45.48,160,0,No Failure
522,H10521,M,296.7,308.22,1391,25.4,223,1,Tool Wear Failure
523,H10522,L,295.18,305.41,2102,52.31,183,0,No Failure
524,H10523,L,299.26,310.23,2058,51.79,29,0,No Failure
525,M10524,L,295.05,306.13,1662,25.21,166,0,No Failure
526,M10525,M,297.24,308.87,1567,45.29,153,0,No Failure
527,M10526,H,298.18,306.78,2139,35.1,158,1,Power Failure
528,M10527,M,300.53,310.77,1422,40.65,199,0,No Failure
529,L10528,H,295.54,305.25,1754,39.02,76,0,No Failure
530,H10529,M,297.44,309.13,1254,24.71,89,0,No Failure
531,L10530,H,295.15,303.57,1391,27.11,50,0,No Failure
532,M10531,M,297.06,308.99,1804,23.91,114,0,No Failure
533,L10532,H,298.73,310.24,1862,28.66,102,0,No Failure
534,L10533,L,296.67,304.97,1781,58.36,21,0,No Failure
535,L10534,L,296.26,306.22,2070,21.1,61,0,No Failure
536,H10535,L,295.69,306.56,2193,39.42,30,1,Power Failure
537,M10536,M,298.46,309.42,1964,56.04,139,0,No Failure
538,M10537,L,299.17,310.8,1665,24.51,47,1,Overstrain Failure
539,H10538,M,299.03,310.23,2034,30.25,81,0,No Failure
540,H10539,M,300.69,309.94,1320,52.73,204,1,Tool Wear Failure
541,H10540,H,295.02,305.01,1883,49.14,143,0,No Failure
542,H10541,L,298.88,309.69,1718,45.34,130,0,No Failure
543,M10542,L,298.6,307.16,1378,27.72,236,1,Tool Wear Failure
544,H10543,L,298.53,307.31,2173,55.75,109,0,No Failure
545,M10544,L,300.78,310.7,1538,26.36,221,1,Tool Wear Failure
546,H10545,M,295.1,304.29,1815,26.07,144,0,No Failure
547,M10546,H,299.18,310.63,2079,55.78,101,1,Power Failure
548,L10547,M,299.88,310.23,1707,36.62,87,0,No Failure
549,L10548,L,298.06,307.45,1315,34.07,226,1,Tool Wear Failure
550,H10549,M,297,308.4,2019,32.54,141,0,No Failure
551,H10550,L,299.75,310.96,1553,34.62,63,0,No Failure
552,M10551,M,295.58,307.58,2183,35.33,130,1,Power Failure
553,M10552,L,297.65,309.04,2084,51.34,62,0,No Failure
554,L10553,H,298.12,307.78,2053,30.81,60,0,No Failure
555,M10554,H,299.16,307.67,1556,34.64,32,0,No Failure
556,H10555,H,295.55,306.91,1957,54.93,172,0,No Failure
557,M10556,M,296.37,304.61,2186,61.09,195,1,Power Failure
558,L10557,H,297.46,306.86,1726,47.58,81,0,No Failure
559,L10558,M,298.74,310.42,1671,24.73,102,0,No Failure
560,L10559,M,300.32,312.16,1215,44.37,198,0,No Failure
561,M10560,H,298.71,309.28,1900,48.25,4,0,No Failure
562,L10561,H,295.8,306.56,2058,34.13,83,0,No Failure
563,H10562,M,300.88,309.05,1447,57.26,77,0,No Failure
564,H10563,M,300.23,310.29,1515,55.19,136,0,No Failure
565,L10564,L,298.02,308.2,1701,45.89,224,1,Tool Wear Failure
566,M10565,H,300.53,309.89,1272,26.53,10,0,No Failure
567,H10566,L,298.25,306.52,1290,51.38,211,1,Tool Wear Failure
568,L10567,M,300.54,309.46,1621,60.29,139,1,Power Failure
569,M10568,H,299.98,309.41,1461,31.25,147,0,No Failure
570,L10569,H,300.81,310.55,1606,63.14,239,1,Tool Wear Failure
571,L10570,H,300.52,310.88,1654,54.71,32,0,No Failure
572,M10571,H,295.22,306.11,2176,33.51,69,1,Overstrain Failure
573,M10572,L,296.05,305.32,2144,47.76,58,1,Power Failure
574,M10573,H,297.33,306.65,1340,33.85,117,0,No Failure
575,M10574,H,300.71,308.79,2083,24.48,145,0,No Failure
576,H10575,L,296.8,304.96,1280,57.09,182,1,Overstrain Failure
577,L10576,M,295.96,304.99,1708,49.96,13,0,No Failure
578,M10577,M,300.32,311.28,1364,47.63,107,0,No Failure
579,M10578,H,297.68,308.19,1566,26.4,231,1,Tool Wear Failure
580,L10579,M,300.45,311.53,1943,36.98,116,0,No Failure
581,L10580,L,295.96,307.04,1625,59.45,204,1,Tool Wear Failure
582,M10581,H,298.97,310.39,2007,27.35,28,0,No Failure
583,H10582,H,297.64,308.52,1919,22.16,72,0,No Failure
584,M10583,M,295.46,307.37,2143,28.6,184,1,Power Failure
585,H10584,L,299.18,310.77,1734,31.26,155,1,Overstrain Failure
586,H10585,L,296.48,306.83,2002,55.26,111,0,No Failure
587,M10586,L,295.24,305.59,1523,49.17,167,0,No Failure
588,M10587,L,295.36,303.5,1546,20.78,193,0,No Failure
589,H10588,H,295.37,307.36,1601,20.78,224,1,Tool Wear Failure
590,M10589,H,300.45,308.97,1611,45.51,110,0,No Failure
591,L10590,H,299.44,310.4,1303,48.5,161,0,No Failure
592,M10591,L,300.39,311.67,1719,25.64,95,0,No Failure
593,M10592,L,299.04,308.53,1297,47.47,232,1,Tool Wear Failure
594,M10593,L,298.17,306.96,2090,30.82,120,0,No Failure
595,M10594,L,296.83,305.22,1262,35.15,103,0,No Failure
596,L10595,M,300.99,311.98,1650,38.4,235,1,Tool Wear Failure
597,H10596,M,297.17,306.98,1485,25.23,0,0,No Failure
598,L10597,H,297.82,308.68,1355,63.34,83,1,Overstrain Failure
599,L10598,M,297.27,308.93,1984,63.82,210,1,Tool Wear Failure
600,M10599,H,300.88,309.46,1915,40.03,113,0,No Failure
601,M10600,M,296.05,307.72,1346,31.59,87,0,No Failure
602,M10601,L,296.97,306.61,1833,63.14,147,1,Power Failure
603,L10602,H,299.08,308.3,1993,56.81,101,0,No Failure
604,M10603,M,295.38,307.15,1973,52.59,82,0,No Failure
605,M10604,L,298.64,310.61,1292,40.78,66,0,No Failure
606,L10605,L,297.87,306.66,1886,38.48,78,1,Tool Wear Failure
607,H10606,M,296.7,307.33,1916,55.07,231,1,Tool Wear Failure
608,L10607,H,296.43,304.86,2062,43.38,240,1,Tool Wear Failure
609,M10608,M,298.09,308.69,1708,49.73,25,0,No Failure
610,H10609,H,297.21,308.52,1661,45.48,184,0,No Failure
611,M10610,H,297.74,308.48,2165,52.05,164,1,Power Failure
612,L10611,L,297.02,306.69,1997,24.23,158,0,No Failure
613,H10612,L,300.82,310.36,1759,36.99,8,0,No Failure
614,M10613,H,295.8,305.37,1531,27.52,68,0,No Failure
615,L10614,H,295.58,305.94,2045,30.89,187,0,No Failure
616,M10615,H,297.06,308.59,1655,29.04,124,0,No Failure
617,M10616,H,298.55,310.26,1293,42.65,6,0,No Failure
618,L10617,H,298.96,307.17,1655,20.85,132,0,No Failure
619,H10618,M,297.38,306.11,2072,63.38,212,1,Tool Wear Failure
620,H10619,M,301,309.44,1648,43.35,220,1,Tool Wear Failure
621,H10620,M,297.11,305.88,1214,22.37,225,1,Tool Wear Failure
622,L10621,H,299.33,308.71,1811,50.69,132,0,No Failure
623,L10622,M,298.83,308.85,2196,32.1,117,0,No Failure
624,L10623,H,299.88,310.4,2017,24.8,61,0,No Failure
625,M10624,L,300.86,311.79,1817,57.36,217,1,Tool Wear Failure
626,L10625,H,300.34,311.9,2114,28.91,200,1,Power Failure
627,H10626,L,299.59,311.54,2014,24.71,216,1,Tool Wear Failure
628,M10627,L,299.19,309.84,1699,22.56,56,0,No Failure
629,M10628,L,297.01,308.39,1791,52.79,24,0,No Failure
630,H10629,M,295.89,307,1931,49.49,175,0,No Failure
631,H10630,H,295.38,304.61,2046,20.37,228,1,Tool Wear Failure
632,H10631,H,296.45,307.95,1258,29.97,229,1,Tool Wear Failure
633,M10632,M,297.59,305.76,1975,51.71,132,0,No Failure
634,H10633,H,298.13,306.13,1648,26.85,161,0,No Failure
635,H10634,L,299.64,308.73,1861,45.95,28,0,No Failure
636,L10635,H,300.75,310.6,1965,29.59,69,0,No Failure
637,M10636,M,295.7,306.26,1740,40.22,134,0,No Failure
638,M10637,M,295.64,304.05,1359,59.03,220,1,Overstrain Failure
639,H10638,H,298.54,309.23,1610,33.62,121,0,No Failure
640,H10639,H,299.47,310.68,1277,50.87,148,0,No Failure
641,L10640,M,300.09,308.83,1889,39.72,14,0,No Failure
642,M10641,M,300.61,310.28,2154,24.33,241,1,Tool Wear Failure
643,M10642,L,300.9,310.98,1995,36.23,123,0,No Failure
644,L10643,M,297.4,307.21,1590,57.86,40,0,No Failure
645,H10644,L,297.28,308.48,1784,63.79,85,0,No Failure
646,M10645,H,295.89,307.73,1504,58.03,128,0,No Failure
647,L10646,H,299.11,310.31,1741,27.3,35,0,No Failure
648,H10647,H,298.94,307.25,1501,35.55,49,0,No Failure
649,M10648,M,300.17,311.39,1938,57.4,229,1,Tool Wear Failure
650,L10649,L,295.58,303.85,1459,44.93,218,1,Tool Wear Failure
651,L10650,H,297.99,306.93,2164,54.93,31,1,Power Failure
652,H10651,H,298.49,307.1,1862,55,70,0,No Failure
653,M10652,M,296.45,305.24,1269,23.2,159,0,No Failure
654,L10653,L,296.01,306.13,1211,35.41,65,0,No Failure
655,H10654,L,300.16,310.84,2197,41.56,1,0,No Failure
656,L10655,L,295.35,305.23,1421,62.54,175,0,No Failure
657,H10656,L,297.82,309.66,1513,60.42,48,0,No Failure
658,L10657,M,295.7,304.66,1408,39.04,81,0,No Failure
659,M10658,H,297.74,308.79,2128,24.3,71,0,No Failure
660,M10659,M,300.88,312.36,1852,38.2,38,1,Power Failure
661,H10660,L,297.54,307.79,1704,44.12,34,0,No Failure
662,L10661,H,300.14,309.97,1758,60.7,36,0,No Failure
663,H10662,H,295.7,306.09,1518,33.27,242,1,Tool Wear Failure
664,H10663,L,296.63,306.34,1814,33.9,182,0,No Failure
665,H10664,M,297.42,307.64,1620,48.22,235,1,Tool Wear Failure
666,L10665,H,297.4,307.07,1399,42.73,143,0,No Failure
667,H10666,H,299.03,308.63,1857,28.81,83,0,No Failure
668,L10667,L,297.07,307.85,1574,26.51,41,0,No Failure
669,H10668,M,299.28,307.65,1985,42.03,121,0,No Failure
670,H10669,L,298.84,307.5,1615,55.07,123,0,No Failure
671,M10670,L,297.39,308.8,1708,55.05,194,1,Power Failure
672,M10671,L,297.59,308.67,1987,63.91,132,1,Power Failure
673,H10672,L,298.69,307.81,1648,37.22,49,0,No Failure
674,M10673,H,295.42,304.93,2166,37.64,204,1,Tool Wear Failure
675,H10674,L,299.93,311.64,1993,20.08,37,0,No Failure
676,M10675,L,298.92,310.19,2026,57.35,132,0,No Failure
677,H10676,M,299.36,309.82,2154,49.1,11,1,Power Failure
678,M10677,M,298.22,307.11,1589,54.65,92,0,No Failure
679,L10678,H,295.66,303.84,1780,41.18,168,0,No Failure
680,H10679,H,297.43,307.16,1894,61.41,35,0,No Failure
681,H10680,L,297.43,308.12,1873,21.31,131,0,No Failure
682,L10681,M,296.93,308.24,2153,25.19,135,1,Power Failure
683,L10682,M,295.18,306.59,1488,36.92,227,1,Tool Wear Failure
684,L10683,M,299.42,307.55,1491,23.83,117,0,No Failure
685,L10684,L,295.66,304.64,2118,23.95,20,1,Power Failure
686,L10685,M,298.64,307.99,1999,45.51,36,0,No Failure
687,M10686,H,299.22,307.97,1403,29.73,69,0,No Failure
688,M10687,H,298.81,310.02,1770,48.19,200,0,No Failure
689,M10688,L,300.75,311.82,1946,61.82,64,1,Power Failure
690,M10689,L,295.62,305.69,1553,57.07,152,0,No Failure
691,M10690,L,300.2,312.13,1634,31.18,20,0,No Failure
692,L10691,L,295.18,303.75,1775,24.03,51,1,Tool Wear Failure
693,H10692,M,298.21,309.81,1667,62.76,155,1,Power Failure
694,M10693,H,297.43,305.89,1953,64.75,25,1,Power Failure
695,H10694,M,298.15,306.8,1206,36.85,179,0,No Failure
696,L10695,M,297.19,307.98,1635,40.73,112,0,No Failure
697,H10696,H,296.14,304.58,1538,26.54,70,0,No Failure
698,L10697,M,295.11,305.38,1809,51.96,218,1,Tool Wear Failure
699,H10698,L,298.11,307.79,1976,38.98,168,0,No Failure
700,H10699,M,300.06,310.97,1276,56.14,16,1,Overstrain Failure
701,L10700,L,297.24,308.84,1358,45.98,168,0,No Failure
702,L10701,M,296.34,307.42,1865,21.93,50,0,No Failure
703,M10702,L,295.48,306.88,1938,35.07,230,1,Tool Wear Failure
704,L10703,L,295.51,303.64,1788,56.39,38,0,No Failure
705,M10704,M,296.33,305.57,2183,50.97,154,1,Power Failure
706,M10705,H,295.6,305.66,1699,48.46,61,0,No Failure
707,L10706,H,296.59,306.25,1336,50.26,236,1,Tool Wear Failure
708,H10707,M,295.4,304.32,1886,47.23,81,0,No Failure
709,M10708,M,295.39,304.63,1802,48.85,147,0,No Failure
710,M10709,L,300.14,311.92,1790,47.92,32,0,No Failure
711,M10710,M,295.97,305.15,1746,44,120,1,Power Failure
712,L10711,H,298.36,307.77,2139,54.1,152,0,No Failure
713,L10712,M,299.64,307.66,1329,36.63,193,0,No Failure
714,H10713,M,297.74,309.12,1273,41.39,139,0,No Failure
715,M10714,H,295.92,304.54,1354,38.07,176,0,No Failure
716,H10715,H,296.2,305.01,1445,29.41,215,1,Tool Wear Failure
717,L10716,H,297.6,306.62,1793,34.49,75,0,No Failure
718,M10717,H,298.17,309.71,1812,22.48,85,0,No Failure
719,L10718,M,297.1,305.92,1433,34.65,7,0,No Failure
720,M10719,M,299.69,310.88,1689,37.58,139,0,No Failure
721,L10720,L,299.51,310.74,1682,24.2,243,1,Tool Wear Failure
722,L10721,H,300.56,312.27,1653,29.92,184,0,No Failure
723,H10722,M,295.17,303.64,2004,31.23,248,1,Tool Wear Failure
724,H10723,M,300.37,309.24,1672,30.24,114,0,No Failure
725,L10724,H,297.36,308.33,1958,35.76,187,0,No Failure
726,M10725,H,300.27,309.05,1366,26.52,40,0,No Failure
727,H10726,M,299.14,308.29,1732,52.92,106,0,No Failure
728,M10727,M,300.92,309.59,2024,35.42,161,0,No Failure
729,L10728,M,299.56,308.25,1378,25.51,113,0,No Failure
730,H10729,M,297.19,307.11,1665,46.71,7,0,No Failure
731,L10730,M,298.01,306.45,1809,28.08,79,0,No Failure
732,M10731,H,297.26,306.55,1385,22.61,169,0,No Failure
733,H10732,H,297.19,306.9,1957,27.35,99,0,No Failure
734,H10733,L,296.57,304.66,1279,38.9,112,0,No Failure
735,M10734,H,297.98,307.53,2146,51.21,214,1,Tool Wear Failure
736,L10735,L,299.09,307.47,1668,48.87,67,0,No Failure
737,M10736,M,296.66,306.64,1536,20.23,154,0,No Failure
738,L10737,M,298.15,309.45,1317,55.7,211,1,Overstrain Failure
739,L10738,H,295.7,306.98,1633,35.11,202,1,Tool Wear Failure
740,M10739,H,295.96,304.28,1860,50.59,60,0,No Failure
741,L10740,M,295.28,305.69,1294,21.47,13,0,No Failure
742,H10741,M,300.82,312.16,1506,37.72,69,0,No Failure
743,H10742,M,295.02,303.98,2036,20.88,44,0,No Failure
744,H10743,M,296.07,307.12,1846,56.74,7,0,No Failure
745,H10744,H,298.68,310.24,1406,28.41,76,0,No Failure
746,H10745,M,295.49,306.71,1361,50.35,130,0,No Failure
747,H10746,H,300.29,308.72,2104,32.47,163,1,Power Failure
748,H10747,L,299.32,307.35,1487,26.09,94,0,No Failure
749,H10748,M,300.8,309.57,1380,61.86,51,1,Overstrain Failure
750,L10749,M,298.05,307.13,2200,46.78,142,0,No Failure
751,H10750,L,296.8,307.27,1509,60.08,188,0,No Failure
752,H10751,H,298.3,307.83,1325,33.8,174,0,No Failure
753,L10752,L,300.58,311.4,1662,57.34,214,1,Tool Wear Failure
754,L10753,L,298.12,307.54,1634,62.38,66,0,No Failure
755,L10754,M,296.6,305.22,2127,37.78,126,1,Power Failure
756,L10755,H,300.26,309.52,1334,60.69,122,1,Overstrain Failure
757,L10756,M,297.23,308.77,1291,35.08,80,0,No Failure
758,L10757,M,295.01,306.84,1293,34.61,172,0,No Failure
759,M10758,H,296.49,305.32,2104,64.81,34,1,Power Failure
760,M10759,M,296.91,308.06,1649,62.86,201,1,Tool Wear Failure
761,L10760,M,300.15,309.25,1351,30.29,9,0,No Failure
762,L10761,M,297.75,309.3,1794,57.67,97,0,No Failure
763,H10762,L,297.67,306.33,1738,35.41,152,0,No Failure
764,H10763,H,297.02,307.68,1398,64.07,106,1,Overstrain Failure
765,L10764,H,300.28,308.62,1803,58.24,164,0,No Failure
766,H10765,H,300.67,312.57,1540,60.72,10,1,Power Failure
767,H10766,M,300.95,311.75,1438,45.82,217,1,Tool Wear Failure
768,L10767,M,297.26,308.63,1710,33.24,19,0,No Failure
769,H10768,H,300.8,311.06,1492,28.89,72,0,No Failure
770,M10769,L,299.75,309.66,1422,43.75,73,0,No Failure
771,M10770,H,299.05,309.54,2080,50.22,3,0,No Failure
772,H10771,H,296.47,306.58,1356,53.38,24,0,No Failure
773,M10772,M,296.3,306.18,1481,27.67,213,1,Tool Wear Failure
774,L10773,M,296,307.03,1586,44.11,194,0,No Failure
775,L10774,M,300.54,309.25,1474,39.62,184,0,No Failure
776,L10775,L,296.76,305.45,1411,29.37,172,0,No Failure
777,L10776,M,297.72,307.45,1971,44.88,19,0,No Failure
778,M10777,L,297.96,307.25,1529,32.42,75,0,No Failure
779,L10778,H,299.67,307.97,1313,44.08,2,0,No Failure
780,H10779,M,300.07,311.44,1741,29,15,0,No Failure
781,L10780,H,295.83,306.92,1325,60.5,9,1,Overstrain Failure
782,M10781,M,297.56,307.74,1558,35.21,50,0,No Failure
783,H10782,H,300.06,311.97,2082,47.47,14,0,No Failure
784,H10783,L,299.91,308.2,1569,25.49,4,0,No Failure
785,H10784,H,295.61,306.68,1833,48.35,61,0,No Failure
786,M10785,M,295.94,305,1715,32.24,200,0,No Failure
787,H10786,H,296.83,306.3,1338,63.04,14,1,Overstrain Failure
788,L10787,L,295.45,304.33,1849,37.74,246,1,Tool Wear Failure
789,L10788,M,297.55,308.7,2056,47.33,164,0,No Failure
790,M10789,H,295.65,304.22,1293,29.71,217,1,Tool Wear Failure
791,M10790,M,298.41,309.77,1954,58.77,165,0,No Failure
792,L10791,L,296.48,307.13,1890,56.19,194,0,No Failure
793,L10792,M,298.58,306.81,2067,31.05,75,1,Overstrain Failure
794,H10793,H,295.71,306.95,1304,61,64,1,Overstrain Failure
795,L10794,M,300.86,311.37,1506,21.81,166,0,No Failure
796,L10795,L,300.6,312.22,1894,53.87,141,1,Tool Wear Failure
797,L10796,L,297.35,308.35,1222,40.6,126,0,No Failure
798,H10797,H,296.45,306.7,1934,57.6,44,0,No Failure
799,H10798,M,296.5,307.85,2058,40.95,58,0,No Failure
800,M10799,M,297.9,307.01,1653,22.95,137,1,Overstrain Failure
801,H10800,L,295.24,305.43,1634,30.19,102,0,No Failure
802,L10801,L,298.84,308.01,1478,64.75,241,1,Tool Wear Failure
803,M10802,H,297.45,309.32,1205,35.04,138,0,No Failure
804,L10803,L,297.26,306.17,1386,27.21,108,0,No Failure
805,L10804,L,299.86,307.92,2180,56.26,238,1,Tool Wear Failure
806,L10805,M,299.25,308.56,2067,22.03,23,0,No Failure
807,L10806,M,300.73,310.74,1467,22.99,68,0,No Failure
808,M10807,H,297.11,305.23,2164,33.39,87,1,Power Failure
809,M10808,M,300.39,310.62,1568,22.13,213,1,Tool Wear Failure
810,H10809,H,299.62,311.12,1498,64.81,192,0,No Failure
811,H10810,H,297.14,307.96,1353,51.1,76,0,No Failure
812,L10811,M,298.73,309.22,2102,43.38,218,1,Tool Wear Failure
813,M10812,L,296.73,308.56,2187,56.23,16,1,Power Failure
814,M10813,H,300.25,312.08,1527,49.81,123,0,No Failure
815,L10814,M,295.67,306.97,1903,27.8,164,0,No Failure
816,L10815,L,296.27,306.71,1535,29.88,78,0,No Failure
817,H10816,H,296.1,306.05,1305,59.05,17,1,Overstrain Failure
818,L10817,H,297.42,305.47,1593,35.16,64,0,No Failure
819,M10818,H,299.47,309.9,1752,40.14,121,0,No Failure
820,H10819,M,298.16,310.12,1323,37.6,80,0,No Failure
821,H10820,L,297.93,309.2,2018,22.34,104,0,No Failure
822,M10821,H,295,304.37,1697,51.71,23,0,No Failure
823,H10822,L,297.55,306.16,1434,44.3,4,0,No Failure
824,H10823,M,295.38,306.52,1793,50.43,219,1,Tool Wear Failure
825,M10824,L,296.25,307.23,1993,32.52,20,0,No Failure
826,H10825,L,300.59,312.46,1528,38.31,73,0,No Failure
827,H10826,M,296.29,307.79,1901,28.67,166,0,No Failure
828,M10827,M,300.15,310.37,1628,38.89,211,1,Tool Wear Failure
829,L10828,M,299.82,308.22,2164,49.41,80,1,Power Failure
830,M10829,H,295.95,305.89,1971,62.51,163,0,No Failure
831,H10830,H,298.63,307.89,1556,49.86,118,0,No Failure
832,H10831,M,295.69,305.74,1218,43.63,13,0,No Failure
833,M10832,M,299.37,308.57,1858,38.74,102,0,No Failure
834,M10833,M,298.82,310.27,1398,24.75,7,0,No Failure
835,M10834,L,299.87,311.25,1322,41.47,241,1,Tool Wear Failure
836,M10835,L,297.88,307.14,2132,26.98,191,0,No Failure
837,M10836,M,300.49,310.89,2200,46.2,85,1,Power Failure
838,H10837,M,295.3,305.02,1470,52.86,59,0,No Failure
